User ID,Name,Date,Time,Rating,Text,Cleaned_Text,Tokenized_Text,Manually_Predicted,Predictions,Explanation,Match_Manual,Predictions,Explanation,Match_Manual
U1011,Jack Anderson,11/08/23,11:10,5,"Customer service at X Bank is responsive and helpful, but the wait times on the phone can be lengthy.",customer service x bank responsive helpful wait times phone lengthy,"['customer', 'service', 'x', 'bank', 'responsive', 'helpful', 'wait', 'times', 'phone', 'lengthy']",Neutral,Positive,Positive because compound score is 0.6486,No,Positive,Positive because compound score is 0.6486,No
U1012,Kate Thomas,12/08/23,13:55,4,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1013,Leo Jackson,13/08/23,9:30,3,"The investment options at X Bank are diverse and offer good returns, but the interface could be more user-friendly for first-time investors.",investment options x bank diverse offer good returns interface could userfriendly firsttime investors,"['investment', 'options', 'x', 'bank', 'diverse', 'offer', 'good', 'returns', 'interface', 'could', 'userfriendly', 'firsttime', 'investors']",Positive,Positive,Manually classified as Positive due to words in text.,Yes,Positive,Manually classified as Positive due to words in text.,Yes
U1014,Mia White,14/08/23,15:40,2,"X Bank's home insurance policies provide comprehensive coverage, but the claims process tends to be slower than expected, requiring follow-ups.",x banks home insurance policies provide comprehensive coverage claims process tends slower expected requiring followups,"['x', 'banks', 'home', 'insurance', 'policies', 'provide', 'comprehensive', 'coverage', 'claims', 'process', 'tends', 'slower', 'expected', 'requiring', 'followups']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1015,Noah Harris,15/08/23,8:25,1,"The business loans from X Bank come with competitive interest rates, although the application process involves a lot of paperwork, which can be time-consuming.",business loans x bank come competitive interest rates although application process involves lot paperwork timeconsuming,"['business', 'loans', 'x', 'bank', 'come', 'competitive', 'interest', 'rates', 'although', 'application', 'process', 'involves', 'lot', 'paperwork', 'timeconsuming']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1016,Olivia Martin,16/08/23,14:00,5,"X Bank's debit card services are reliable, particularly for domestic transactions, but the fees for international usage are relatively high.",x banks debit card services reliable particularly domestic transactions fees international usage relatively high,"['x', 'banks', 'debit', 'card', 'services', 'reliable', 'particularly', 'domestic', 'transactions', 'fees', 'international', 'usage', 'relatively', 'high']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1017,Paul Thompson,17/08/23,10:50,4,"The savings accounts at X Bank offer transparent terms, but the interest rates could be more competitive compared to other banks.",savings accounts x bank offer transparent terms interest rates could competitive compared banks,"['savings', 'accounts', 'x', 'bank', 'offer', 'transparent', 'terms', 'interest', 'rates', 'could', 'competitive', 'compared', 'banks']",Neutral,Positive,Positive because compound score is 0.5719,No,Positive,Positive because compound score is 0.5719,No
U1018,Quinn Garcia,18/08/23,12:20,3,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1019,Rose Martinez,19/08/23,15:10,2,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1020,Sam Robinson,20/08/23,16:45,1,"The loan calculator on X Bank's website is a helpful tool for estimating payments, though it doesn't always reflect the latest interest rates.",loan calculator x banks website helpful tool estimating payments though doesnt always reflect latest interest rates,"['loan', 'calculator', 'x', 'banks', 'website', 'helpful', 'tool', 'estimating', 'payments', 'though', 'doesnt', 'always', 'reflect', 'latest', 'interest', 'rates']",Neutral,Positive,Positive because compound score is 0.7003,No,Positive,Positive because compound score is 0.7003,No
U1021,Tina Clark,21/08/23,9:00,5,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1022,Uma Rodriguez,22/08/23,11:35,4,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1023,Victor Lewis,23/08/23,14:15,3,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1024,Wendy Walker,24/08/23,7:55,2,"X Bank's fraud detection system is effective, but resolving false positives can be a bit of a hassle, requiring several steps.",x banks fraud detection system effective resolving false positives bit hassle requiring several steps,"['x', 'banks', 'fraud', 'detection', 'system', 'effective', 'resolving', 'false', 'positives', 'bit', 'hassle', 'requiring', 'several', 'steps']",Neutral,Positive,Positive because compound score is 0.6486,No,Positive,Positive because compound score is 0.6486,No
U1025,Xavier Hall,25/08/23,13:40,1,"Fixed deposits at X Bank offer decent returns, but the penalties for early withdrawal are quite steep, which might deter some customers.",fixed deposits x bank offer decent returns penalties early withdrawal quite steep might deter customers,"['fixed', 'deposits', 'x', 'bank', 'offer', 'decent', 'returns', 'penalties', 'early', 'withdrawal', 'quite', 'steep', 'might', 'deter', 'customers']",Neutral,Neutral,Neutral because compound score is 0.0258,Yes,Neutral,Neutral because compound score is 0.0258,Yes
U1026,Yara Allen,26/08/23,16:25,5,"The mobile wallet integration with X Bank is convenient for everyday use, though it occasionally disconnects from other apps, causing minor issues.",mobile wallet integration x bank convenient everyday use though occasionally disconnects apps causing minor issues,"['mobile', 'wallet', 'integration', 'x', 'bank', 'convenient', 'everyday', 'use', 'though', 'occasionally', 'disconnects', 'apps', 'causing', 'minor', 'issues']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1027,Zack Young,27/08/23,9:20,4,"X Bank's mortgage refinancing options are attractive, with competitive rates, though the documentation process could be streamlined.",x banks mortgage refinancing options attractive competitive rates though documentation process could streamlined,"['x', 'banks', 'mortgage', 'refinancing', 'options', 'attractive', 'competitive', 'rates', 'though', 'documentation', 'process', 'could', 'streamlined']",Neutral,Positive,Manually classified as Positive due to words in text.,No,Positive,Manually classified as Positive due to words in text.,No
U1028,Aaron Scott,28/08/23,10:55,3,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1029,Bella Morris,29/08/23,12:45,2,"X Bank's budgeting tools are useful for managing finances, but they could benefit from more customization options to suit different needs.",x banks budgeting tools useful managing finances could benefit customization options suit different needs,"['x', 'banks', 'budgeting', 'tools', 'useful', 'managing', 'finances', 'could', 'benefit', 'customization', 'options', 'suit', 'different', 'needs']",Neutral,Positive,Manually classified as Positive due to words in text.,No,Positive,Manually classified as Positive due to words in text.,No
U1030,Chris Jones,30/08/23,8:30,1,"The travel insurance provided by X Bank covers a wide range of incidents, but the claims process can be somewhat tedious.",travel insurance provided x bank covers wide range incidents claims process somewhat tedious,"['travel', 'insurance', 'provided', 'x', 'bank', 'covers', 'wide', 'range', 'incidents', 'claims', 'process', 'somewhat', 'tedious']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1031,Dora King,31/08/23,15:50,5,"X Bank's account activity alerts are prompt and useful, but they sometimes miss minor transactions, which could be improved.",x banks account activity alerts prompt useful sometimes miss minor transactions could improved,"['x', 'banks', 'account', 'activity', 'alerts', 'prompt', 'useful', 'sometimes', 'miss', 'minor', 'transactions', 'could', 'improved']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1032,Ethan Wright,01/09/23,7:40,4,"The educational loans from X Bank have flexible repayment options, but the interest rates are a bit higher than what other banks offer.",educational loans x bank flexible repayment options interest rates bit higher banks offer,"['educational', 'loans', 'x', 'bank', 'flexible', 'repayment', 'options', 'interest', 'rates', 'bit', 'higher', 'banks', 'offer']",Neutral,Positive,Manually classified as Positive due to words in text.,No,Positive,Manually classified as Positive due to words in text.,No
U1033,Fiona Campbell,02/09/23,11:25,3,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1034,George Mitchell,03/09/23,13:00,2,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1035,Hannah Turner,04/09/23,16:10,1,"The check deposit feature in X Bank's mobile app is convenient, but it occasionally fails to properly scan checks, leading to errors.",check deposit feature x banks mobile app convenient occasionally fails properly scan checks leading errors,"['check', 'deposit', 'feature', 'x', 'banks', 'mobile', 'app', 'convenient', 'occasionally', 'fails', 'properly', 'scan', 'checks', 'leading', 'errors']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1036,Ian Carter,05/09/23,8:20,5,"Auto loans from X Bank offer competitive rates, though the approval process could be more efficient, with fewer delays.",auto loans x bank offer competitive rates though approval process could efficient fewer delays,"['auto', 'loans', 'x', 'bank', 'offer', 'competitive', 'rates', 'though', 'approval', 'process', 'could', 'efficient', 'fewer', 'delays']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1037,Julia Roberts,06/09/23,10:00,4,"Payment due notifications from X Bank are reliable, but they could include a more detailed breakdown of charges to avoid confusion.",payment due notifications x bank reliable could include detailed breakdown charges avoid confusion,"['payment', 'due', 'notifications', 'x', 'bank', 'reliable', 'could', 'include', 'detailed', 'breakdown', 'charges', 'avoid', 'confusion']",Neutral,Negative,Negative because compound score is -0.6705,No,Negative,Negative because compound score is -0.6705,No
U1038,Kyle Lee,07/09/23,12:30,3,"Currency exchange services at X Bank are dependable, but the transaction processing times could be faster to improve customer experience.",currency exchange services x bank dependable transaction processing times could faster improve customer experience,"['currency', 'exchange', 'services', 'x', 'bank', 'dependable', 'transaction', 'processing', 'times', 'could', 'faster', 'improve', 'customer', 'experience']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1039,Laura Evans,08/09/23,14:45,2,"The wealth advisory services at X Bank are insightful, but the response time to inquiries could be faster, especially for urgent matters.",wealth advisory services x bank insightful response time inquiries could faster especially urgent matters,"['wealth', 'advisory', 'services', 'x', 'bank', 'insightful', 'response', 'time', 'inquiries', 'could', 'faster', 'especially', 'urgent', 'matters']",Neutral,Positive,Positive because compound score is 0.6880,No,Positive,Positive because compound score is 0.6880,No
U1040,Mark Green,09/09/23,16:50,1,"The security features on X Bank's prepaid cards are strong, but the process of loading funds onto the card can be slower than expected.",security features x banks prepaid cards strong process loading funds onto card slower expected,"['security', 'features', 'x', 'banks', 'prepaid', 'cards', 'strong', 'process', 'loading', 'funds', 'onto', 'card', 'slower', 'expected']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1041,Nancy Lopez,10/09/23,9:10,5,"X Bank's fixed-rate mortgage offers are competitive, though the application process feels a bit outdated and could use some modernization.",x banks fixedrate mortgage offers competitive though application process feels bit outdated could use modernization,"['x', 'banks', 'fixedrate', 'mortgage', 'offers', 'competitive', 'though', 'application', 'process', 'feels', 'bit', 'outdated', 'could', 'use', 'modernization']",Neutral,Positive,Manually classified as Positive due to words in text.,No,Positive,Manually classified as Positive due to words in text.,No
U1042,Oscar Gonzalez,11/09/23,11:40,4,"X Bank's mobile banking app is convenient for everyday transactions, but it sometimes lags during peak hours, which can be frustrating.",x banks mobile banking app convenient everyday transactions sometimes lags peak hours frustrating,"['x', 'banks', 'mobile', 'banking', 'app', 'convenient', 'everyday', 'transactions', 'sometimes', 'lags', 'peak', 'hours', 'frustrating']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1043,Patty Nelson,12/09/23,13:15,3,"Bill payments through X Bank are generally efficient, but there have been instances where payment confirmations were delayed.",bill payments x bank generally efficient instances payment confirmations delayed,"['bill', 'payments', 'x', 'bank', 'generally', 'efficient', 'instances', 'payment', 'confirmations', 'delayed']",Neutral,Positive,Positive because compound score is 0.2263,No,Positive,Positive because compound score is 0.2263,No
U1044,Quentin Adams,13/09/23,15:25,2,"X Bank's mobile app offers strong security, though the multi-factor authentication can sometimes be cumbersome and time-consuming.",x banks mobile app offers strong security though multifactor authentication sometimes cumbersome timeconsuming,"['x', 'banks', 'mobile', 'app', 'offers', 'strong', 'security', 'though', 'multifactor', 'authentication', 'sometimes', 'cumbersome', 'timeconsuming']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
U1045,Rita Perez,14/09/23,17:30,1,"Balance transfers on X Bank's credit card are beneficial, but the processing time is longer than I expected, which could be improved.",balance transfers x banks credit card beneficial processing time longer expected could improved,"['balance', 'transfers', 'x', 'banks', 'credit', 'card', 'beneficial', 'processing', 'time', 'longer', 'expected', 'could', 'improved']",Neutral,Neutral,Manually classified as Neutral due to words in text.,Yes,Neutral,Manually classified as Neutral due to words in text.,Yes
